Hausa,English
ka,you
ku,to
da,the
kuma,and
cewa,that
shi,it
na,of
ni,me
me,what
shine,is
in,in
wannan,this
sani,know
ina,I'm
domin,for
a'a,no
yi,have
tawa,my
kar a yi,don't
kawai,just
ba,not
yi,do
kasance,be
kan,on
ku,your
ya kasance,was
mu,we
yana da,it's
tare da,with
haka,so
amma,but
duka,all
da kyau,well
su ne,are
shi,he
oh,oh
game da,about
dama,right
ka na,you're
samu,get
fita,out
tafi,going
kamar,like
iya,yeah
ya,ya
idan,if
ita,her
ta,she
iya,can
sama,up
so,want
tunani,think
haka,that's
yanzu,now
tafi,go
shi,him
a,at
yaya,how
samu,got
can,there
daya,one
yi,did
me yasa,why
gani,see
zo,come
mai kyau,good
su,they
gaske,really
kamar yadda,as
za,would
yaushe,when
lokaci,time
so,will
lafiya,okay
baya,back
ba zai iya ba,can't
nufi,mean
gaya,tell
zan,I'll
daga,from
hey,hey
sun kasance,were
shi ne,he's
iya,could
bai yi ba,didn't
iya,yes
nasa,his
kasance,been
wani abu,something
Hukumar Lafiya ta Duniya,who
saboda,because
wasu,some
da,had
sannan,then
ce,say
ko,ok
kuma,also
lafiya,okay
dauka,take
an,an
hanya,way
mu,us
kadan,little
yi,make
bukata,need
za,gonna
taba,never
muna,we're
kuma,too
soyayya,love
tana,she's
Na yi,I've
tabbas,sure
su,them
Kara,more
a kan,over
namu,our
yi hakuri,sorry
ina,where
menene,what's
bari,let
abu,thing
am,am
watakila,maybe
kasa,down
mutum,man
yana da,has
uh,uh
sosai,very
ta,by
akwai,there's
kamata,should
komai,anything
yace,said
da yawa,much
kowane,any
rayuwa,life
ko da,even
kashe,off
Don Allah,please
yi,doing
na gode,thank
bayarwa,give
kawai,only
tunani,thought
taimako,help
biyu,two
magana,talk
mutane,people
allah,god
har yanzu,still
jira,wait
cikin,into
samu,find
babu komai,nothing
sake,again
abubuwa,things
zo mu,let's
ba,doesn't
kira,call
gaya,told
mai girma,great
kafin,before
mafi kyau,better
har abada,ever
dare,night
fiye,than
nesa,away
na farko,first
yi imani,believe
sauran,other
ji,feel
komai,everything
aiki,work
ka yi,you've
lafiya,fine
gida,home
bayan,after
na ƙarshe,last
wadannan,these
rana,day
kiyaye,keep
yayi,does
saka,put
kewaye,around
tsaya,stop
suna,they're
zan,I'd
dogo,long
ba,isn't
kullum,always
saurare,listen
ake so,wanted
Mr,Mr
maza,guys
ehh,huh
wadanda,those
babba,big
yawa,lot
ya faru,happened
godiya,thanks
ba zai,won't
kokarin,trying
irin,kind
ba daidai ba,wrong
ta hanyar,through
magana,talking
sanya,made
sabuwa,new
kasancewa,being
zato,guess
sannu,hi
kula,care
mara kyau,bad
inna,mom
tuna,remember
samun,getting
za mu,we'll
tare,together
baba,dad
barin,leave
uwa,mother
wuri,place
fahimta,understand
ba zai,wouldn't
a zahiri,actually
ji,hear
baby,baby
nice,nice
uba,father
wani,else
zauna,stay
yi,done
ba,wasn't
su,their
hanya,course
mai yiwuwa,might
hankali,mind
kowane,every
isa,enough
gwada,try
jahannama,hell
ya zo,came
wani,someone
za ku,you'll
nasa,own
iyali,family
duka,whole
wani,another
gida,house
ko,or
Gida,House
Jack,Jack
ko,or
jak,jack
kanka,yourself
ra'ayi,idea
tambaya,ask
mafi kyau,best
dole,must
zuwa,coming
tsoho,old
kallo,looking
mace,woman
sannu,hello
wanda,which
shekaru,years
dakin,room
kudi,money
hagu,left
sani,knew
gaske,real
ɗa,son
fata,hope
suna,name
iri daya,same
tafi,went
um,um
hmm,hmm
farin ciki,happy
kyakkyawa,pretty
yarinya,girl
nuna,show
aboki,friend
riga,already
yana cewa,saying
mai yiwuwa,may
ko,or
Mayu,May
na gaba,next
uku,three
aiki,job
matsala,problem
minti,minute
samu,found
duniya,world
tunani,thinking
ji,heard
zuma,honey
al'amari,matter
kaina,myself
ba zai iya ba,couldn't
daidai,exactly
samun,having
ah,ah
mai yiwuwa,probably
faru,happen
mun yi,we've
ciwo,hurt
yaro,boy
yayin da,while
mutu,dead
dole,gotta
tun,since
uzuri,excuse
fara,start
kashe,kill
wuya,hard
za ku,you'd
yau,today
mota,car
shirye,ready
har zuwa,until
ba tare da,without
komai,whatever
yana so,wants
rike,hold
wanna,wanna
tukuna,yet
gani,seen
yarjejeniya,deal
dauka,took
sau ɗaya,once
tafi,gone
ake kira,called
safe,morning
zato,supposed
abokai,friends
kai,head
kaya,stuff
mafi,most
amfani,used
damuwa,worry
na biyu,second
bangare,part
rayuwa,live
gaskiya,truth
makaranta,school
fuska,face
manta,forget
GASKIYA,TRUE
kasuwanci,business
kowanne,each
sanadi,cause
da sannu,soon
ya sani,knows
kadan,few
gaya,telling
mata,wife
wanene,who's
amfani,use
dama,chance
gudu,run
motsawa,move
kowa,anyone
mutum,person
wallahi,bye
wani,somebody
ko,or
Dr,dr
zuciya,heart
irin wannan,such
miss,miss
aure,married
batu,point
daga baya,later
yin,making
hadu,meet
duk da haka,anyway
da yawa,many
waya,phone
dalili,reason
Tsine,damn
rasa,lost
kamanni,looks
kawo,bring
harka,case
juya,turn
so,wish
gobe,tomorrow
yara,kids
canji,change
karshen,end
marigayi,late
kuma,anymore
biyar,five
kadan,least
gari,town
ba,aren't
ha,ha
aiki,working
shekara,year
sa,makes
dauka,taking
yana nufin,means
ɗan'uwa,brother
wasa,play
ƙiyayya,hate
da suka wuce,ago
in ji,says
kyau,beautiful
aka ba,gave
gaskiya,fact
mahaukaci,crazy
jam'iyya,party
zauna,sit
bude,open
tsoro,afraid
tsakanin,between
muhimmanci,important
hutawa,rest
fun,fun
yaro,kid
kalma,word
kallo,watch
murna,glad
kowa da kowa,everyone
kwanaki,days
'yar'uwa,sister
mintuna,minutes
kowa da kowa,everybody
bit,bit
biyu,couple
ku,whoa
ko dai,either
Mrs,Mrs
ji,feeling
'yar,daughter
wayyo,wow
samun,gets
ya tambaya,asked
karkashin,under
karya,break
alkawari,promise
kofa,door
saita,set
kusa,close
mai sauki,easy
tambaya,question
likita,doctor
gwada,tried
nisa,far
tafiya,walk
bukatun,needs
matsala,trouble
tawa,mine
duk da haka,though
sau,times
daban,different
kashe,killed
asibiti,hospital
kowa,anybody
Sam,Sam
ko,or
SAM,SAM
lafiya,alright
bikin aure,wedding
rufe,shut
iyawa,able
mutu,die
cikakke,perfect
'yan sanda,police
tsaya,stand
ya zo,comes
buga,hit
labari,story
ya,ya
kuma,also
iya,yeah
mm,mm
kuma,also
mm,mmm
jira,waiting
abincin dare,dinner
gaba,against
ban dariya,funny
miji,husband
kusan,almost
wawa,stupid
biya,pay
amsa,answer
ofis,office
sanyi,cool
idanu,eyes
labarai,news
yaro,child
bai kamata ba,shouldn't
rabi,half
gefe,side
naku,yours
lokacin,moment
karanta,read
ina,where's
ya fara,started
matasa,young
maza,men
sauti,sounds
sonny,sonny
ko,or
Sonny,Sonny
sa'a,lucky
karba,pick
wani lokacin,sometimes
em,em
gado,bed
kuma,also
kwanan wata,date
layi,line
shirin,plan
rasa,lose
wuta,fire
kyauta,free
hannuwa,hands
mai tsanani,serious
Leo,Leo
shirme,shit
a baya,behind
ciki,inside
babba,high
gaba,ahead
mako,week
ban mamaki,wonderful
fada,fight
baya,past
yanke,cut
sosai,quite
lamba,number
zai,he'll
mara lafiya,sick
zai yi,it'll
wasa,game
ci,eat
babu kowa,nobody
tafi,goes
mutuwa,death
tare,along
ajiye,save
alama,seems
a karshe,finally
rayuwa,lives
damuwa,worried
haushi,upset
Theresa,Theresa
Carly,Carly
Ethan,Ethan
hadu,met
littafi,book
kawo,brought
kama,seem
iri,sort
rayuwa,living
yara,children
ba,weren't
barin,leaving
gaba,front
harbi,shot
ƙaunataccen,loved
tambaya,asking
gudu,running
bayyananne,clear
adadi,figure
zafi,hot
ji,felt
shida,six
iyaye,parents
sha,drink
kwata-kwata,absolutely
baba,daddy
zaki,sweet
mai rai,alive
Bulus,Paul
hankali,sense
nufi,meant
faruwa,happens
Dauda,David
na musamman,special
fare,bet
jini,blood
ba,ain't
wasa,kidding
karya,lie
cika,full
taro,meeting
masoyi,dear
kofi,coffee
gani,seeing
sauti,sound
laifi,fault
ruwa,water
zagi,fuck
goma,ten
mata,women
John,John
ko,or
john,john
barka da zuwa,welcome
saya,buy
watanni,months
awa,hour
magana,speak
mace,lady
Jen,Jen
tunani,thinks
Kirsimeti,Christmas
jiki,body
oda,order
waje,outside
rataya,hang
mai yiwuwa,possible
mafi muni,worse
kamfani,company
kuskure,mistake
ooh,ooh
rike,handle
ciyarwa,spend
gaba ɗaya,totally
sarrafawa,control
ga nan,here's
aure,marriage
gane,realize
iko,power
shugaban kasa,president
sai dai idan,unless
jima'i,sex
yan mata,girls
aika,send
ake bukata,needed
ko,or
kuma,also
oh,oh
dauka,taken
ya mutu,died
tsoro,scared
hoto,picture
yayi magana,talked
ass,ass
dari,hundred
canza,changed
gaba daya,completely
bayyana,explain
wasa,playing
tabbas,certainly
alamar,sign
yara maza,boys
dangantaka,relationship
Michael,Michael
so,loves
batsa,fucking
gashi,hair
karya,lying
zabi,choice
a ko'ina,anywhere
asiri,secret
nan gaba,future
m,weird
sa'a,luck
za ta,she'll
max,max
Luis,Luis
juya,turned
sani,known
taba,touch
sumba,kiss
Crane,Crane
ko,or
crane,crane
tambayoyi,questions
a fili,obviously
mamaki,wonder
zafi,pain
kira,calling
wani wuri,somewhere
jefa,throw
mike,straight
Alheri,Grace
ko,or
alheri,grace
sanyi,cold
fari,white
ko,or
Fari,White
Natalie,Natalie
kalmomi,words
abinci,food
babu,none
tuƙi,drive
ji,feelings
za su,they'll
aiki,worked
aure,marry
haske,light
gwadawa,test
sauke,drop
ba zai iya ba,cannot
Frank,Frank
aika,sent
birni,city
karewa,protect
aji,class
Lucy,Lucy
mamaki,surprise
ta,its
masoyi,sweetheart
har abada,forever
matalauci,poor
mahaukaci,mad
sai dai,except
gun,gun
ka sani,y'know
rawa,dance
daukan,takes
godiya,appreciate
musamman,especially
halin da ake ciki,situation
banda haka,besides
makonni,weeks
ja,pull
kansa,himself
ba,hasn't
aiki,act
daraja,worth
ban mamaki,amazing
saman,top
aka ba,given
sa ran,expect
Ben,Ben
maimakon haka,rather
Julian,Julian
rantsuwa,swear
yanki,piece
aiki,busy
doka,law
yanke shawara,decided
baki,black
ko,or
Baki,Black
Joey,Joey
faruwa,happening
fim,movie
za mu yi,we'd
kama,catch
Antonio,Antonio
kasa,country
Kadan,less
watakila,perhaps
mataki,step
fada,fall
kallo,watching
kiyaye,kept
kare,dog
Ms,Ms
nasara,win
iska,air
girmamawa,honor
na sirri,personal
motsi,moving
har zuwa,till
shigar,admit
matsaloli,problems
kisan kai,murder
mai karfi,strong
ya yi,he'd
mugunta,evil
ji,feels
bayani,information
gaskiya,honest
ido,eye
karya,broke
rasa,missed
ya fi tsayi,longer
daloli,dollars
gaji,tired
Jason,Jason
maraice,evening
mutum,human
farawa,starting
Ross,Ross
ja,red
duka,entire
tafiya,trip
Brooke,Brooke
kulob,club
Nilu,Niles
